,Open,neg,neu,pos,compound,label
289,20.75,0.024,0.812,0.165,0.9319,1
290,19.629999,0.184,0.775,0.041,-0.8074,1
291,20.17,0,0.762,0.238,0.7574,0
292,19.530001,0,0.906,0.094,0.7269,0
293,19.629999,0.056,0.846,0.098,0.4767,1
294,19.459999,0.121,0.773,0.106,-0.1027,0
295,18.049999,0.08,0.89,0.03,-0.743,0
296,17.290001,0.043,0.87,0.087,0.3182,1
297,17.780001,0.032,0.831,0.136,0.7317,0
298,17.780001,0.05,0.887,0.063,0.2869,0
299,17.85,0.154,0.769,0.077,-0.296,1
300,18.540001,0.113,0.781,0.106,-0.296,1
301,19.16,0.029,0.829,0.142,0.9022,1
302,19.25,0.081,0.919,0,-0.3875,0
303,19.27,0.104,0.856,0.04,-0.7269,0
304,18.49,0,0.867,0.133,0.886,0
305,18.299999,0.074,0.847,0.079,0.1027,0
306,18.02,0,0.758,0.242,0.8885,0
307,17.030001,0.046,0.866,0.088,0.3818,1
308,17.049999,0.066,0.901,0.033,-0.5171,0
309,15.96,0.033,0.907,0.06,0.6124,0
310,16.030001,0,0.873,0.127,0.6369,0
311,15.35,0,0.853,0.147,0.8221,0
312,16.629999,0.1,0.9,0,-0.2732,1
313,16.98,0.063,0.763,0.174,0.6249,0
314,16.32,0.02,0.921,0.059,0.4497,1
315,17.030001,0,0.877,0.123,0.4215,0
316,17.32,0,0.843,0.157,0.6369,0
317,17.370001,0.03,0.907,0.062,0.5849,1
318,18.540001,0,0.659,0.341,0.8979,0
319,17.74,0.047,0.874,0.078,0.5106,0
320,18.23,0.047,0.854,0.099,0.6881,1
321,19.5,0.029,0.934,0.037,0.25,0
322,18.540001,0,0.934,0.066,0.7506,1
323,19.690001,0,1,0,0,0
324,19.16,0.077,0.795,0.128,0.2537,1
325,18.889999,0,0.966,0.034,0.4019,0
326,18.59,0.2,0.8,0,-0.6705,1
327,18.92,0.017,0.785,0.198,0.9845,0
328,19.82,0.067,0.836,0.098,0.2656,1
329,20.110001,0,1,0,0,1
330,20.139999,0.083,0.859,0.057,-0.25,0
331,19.459999,0.079,0.859,0.061,-0.34,0
332,19.51,0,0.78,0.22,0.5423,1
333,19.92,0,1,0,0,0
334,20.129999,0,0.82,0.18,0.7101,1
335,20.360001,0.016,0.907,0.077,0.7968,1
336,19.93,0.059,0.941,0,-0.4019,0
337,20.32,0.061,0.83,0.109,0.8591,1
338,20.559999,0.067,0.828,0.106,0.7378,1
339,21.360001,0,1,0,0,1
340,21.309999,0,0.856,0.144,0.6369,1
341,21.959999,0.022,0.868,0.109,0.8176,1
342,21.98,0,0.891,0.109,0.9058,1
343,23.23,0.064,0.812,0.124,0.5859,1
344,23.620001,0,0.868,0.132,0.6966,0
345,23.950001,0,1,0,0,0
346,23.379999,0.051,0.747,0.202,0.867,0
347,23.57,0.043,0.957,0,-0.4404,0
348,23.6,0,0.909,0.091,0.5994,1
349,24.049999,0.117,0.725,0.158,0.2382,0
350,23.209999,0.021,0.867,0.112,0.8981,0
351,22.65,0.048,0.82,0.132,0.9466,0
352,22.190001,0.044,0.855,0.102,0.3612,1
353,22.42,0.046,0.861,0.093,0.7579,1
354,23.200001,0.069,0.893,0.038,-0.2023,0
355,23.93,0.069,0.691,0.24,0.6369,1
356,24.4,0.114,0.82,0.066,-0.2732,0
357,24.700001,0,0.959,0.041,0.2263,1
358,23.610001,0.038,0.9,0.062,0.34,0
359,22.99,0,1,0,0,1
360,23.73,0,0.751,0.249,0.9313,1
361,23.77,0.042,0.881,0.076,0.5267,0
362,23.82,0,0.97,0.03,0.2023,1
363,23.459999,0.067,0.888,0.045,-0.6124,0
364,23.129999,0.144,0.741,0.115,-0.2808,1
