,neg,neu,pos,compound,Open,High,Low,Close,Volume,label
2793,0.1,0.843,0.057,-0.9723,16420.21094,16420.21094,16108.44043,16153.54004,126210000,1
2794,0.197,0.746,0.057,-0.9969,16186.2002,16381.69043,15960.4502,16336.66016,141870000,1
2795,0.101,0.825,0.074,-0.9529,16329.66992,16485.83984,16266.16016,16416.58008,131490000,0
2796,0.127,0.816,0.057,-0.9894,16417.94922,16423.63086,16129.80957,16204.96973,139010000,0
2799,0.132,0.796,0.073,-0.9846,16147.50977,16147.50977,15803.54981,16027.04981,165880000,1
2800,0.142,0.816,0.042,-0.9872,16005.41016,16136.62012,15881.11035,16014.37988,127740000,0
2801,0.253,0.685,0.062,-0.998,16035.61035,16201.88965,15899.91016,15914.74023,122290000,0
2802,0.123,0.863,0.014,-0.9939,15897.82031,15897.82031,15503.00977,15660.17969,172070000,1
2803,0.069,0.851,0.08,0.6011,15691.62012,15974.04004,15691.62012,15973.83984,132550000,1
2807,0.118,0.826,0.057,-0.983,16012.38965,16196.41016,16012.38965,16196.41016,142030000,1
2808,0.116,0.815,0.069,-0.959,16217.98047,16486.11914,16217.98047,16453.83008,124080000,0
2809,0.187,0.762,0.051,-0.9954,16483.75977,16511.83984,16390.42969,16413.42969,104950000,0
2810,0.162,0.791,0.047,-0.9937,16410.96094,16410.96094,16278,16391.99023,134340000,1
2813,0.125,0.806,0.069,-0.9784,16417.13086,16664.24023,16417.13086,16620.66016,102240000,0
2814,0.143,0.777,0.08,-0.9753,16610.39063,16610.39063,16403.5293,16431.7793,98170000,1
2815,0.207,0.749,0.044,-0.9977,16418.83984,16507.39063,16165.86035,16484.99023,93620000,1
2816,0.142,0.788,0.071,-0.9859,16504.38086,16697.98047,16458.41992,16697.28906,94120000,0
2817,0.169,0.792,0.039,-0.9968,16712.69922,16795.98047,16623.91016,16639.9707,98480000,0
2820,0.152,0.78,0.067,-0.9923,16634.15039,16726.11914,16510.40039,16516.5,126220000,1
2821,0.175,0.782,0.043,-0.9959,16545.66992,16865.56055,16545.66992,16865.08008,105050000,1
2822,0.107,0.844,0.049,-0.9829,16851.16992,16900.16992,16766.32031,16899.32031,104470000,1
2823,0.183,0.75,0.067,-0.994,16896.16992,16944.31055,16820.73047,16943.90039,91110000,1
2824,0.12,0.845,0.035,-0.974,16945,17062.38086,16898.83984,17006.76953,106910000,1
2827,0.1,0.833,0.067,-0.9539,16991.28906,17099.25,16940.48047,17073.94922,100290000,0
2828,0.171,0.773,0.055,-0.9942,17050.66992,17072.78906,16921.50977,16964.09961,108380000,1
2829,0.146,0.781,0.073,-0.987,16969.16992,17048.5,16947.93945,17000.35938,116690000,0
2830,0.216,0.741,0.043,-0.9982,17006.05078,17130.10938,16821.85938,16995.13086,117570000,1
2831,0.17,0.768,0.062,-0.992,17014.99023,17220.08984,17014.99023,17213.31055,123420000,1
2834,0.11,0.838,0.051,-0.9829,17207.49023,17275.07031,17161.16016,17229.13086,96350000,1
2835,0.195,0.726,0.079,-0.9938,17217.15039,17251.69922,17120.34961,17251.5293,92830000,1
2836,0.11,0.864,0.026,-0.9869,17249.33984,17379.17969,17204.07031,17325.75977,118710000,1
2837,0.116,0.824,0.059,-0.9801,17321.38086,17529.00977,17297.65039,17481.49023,117990000,1
2838,0.181,0.764,0.055,-0.9961,17481.49023,17620.58008,17481.49023,17602.30078,321230000,1
2841,0.098,0.861,0.041,-0.9456,17589.69922,17644.9707,17551.2793,17623.86914,84410000,0
2842,0.218,0.709,0.073,-0.9965,17602.71094,17648.93945,17540.41992,17582.57031,95450000,0
2843,0.139,0.795,0.066,-0.9806,17588.81055,17588.81055,17486.26953,17502.58984,84240000,1
2844,0.236,0.694,0.071,-0.9981,17485.33008,17517.14063,17399.00977,17515.73047,84100000,1
2847,0.204,0.757,0.04,-0.9985,17526.08008,17583.81055,17493.0293,17535.39063,70460000,1
2848,0.117,0.807,0.075,-0.9349,17512.58008,17642.81055,17434.26953,17633.10938,86160000,1
2849,0.173,0.765,0.062,-0.9955,17652.35938,17790.10938,17652.35938,17716.66016,79330000,0
2850,0.128,0.791,0.08,-0.9748,17716.05078,17755.69922,17669.7207,17685.08984,102600000,1
2851,0.118,0.816,0.065,-0.9844,17661.74023,17811.48047,17568.01953,17792.75,104890000,0
2854,0.112,0.845,0.043,-0.984,17799.39063,17806.38086,17710.66992,17737,85230000,0
2855,0.112,0.849,0.039,-0.9811,17718.0293,17718.0293,17579.56055,17603.32031,115230000,1
2856,0.107,0.855,0.038,-0.9437,17605.44922,17723.55078,17542.53906,17716.05078,99410000,0
2857,0.145,0.797,0.058,-0.9828,17687.2793,17687.2793,17484.23047,17541.96094,90120000,1
2858,0.12,0.81,0.07,-0.9682,17555.39063,17694.50977,17528.16016,17576.96094,79990000,0
2861,0.139,0.783,0.079,-0.9843,17586.48047,17731.63086,17555.90039,17556.41016,107100000,1
2862,0.12,0.821,0.06,-0.9738,17571.33984,17744.42969,17553.57031,17721.25,81020000,1
2863,0.183,0.756,0.06,-0.9932,17741.66016,17918.34961,17741.66016,17908.2793,91710000,1
2864,0.13,0.809,0.061,-0.9879,17912.25,17962.14063,17885.43945,17926.42969,84510000,0
2865,0.116,0.858,0.026,-0.9839,17925.94922,17937.65039,17867.41016,17897.46094,118160000,1
2868,0.141,0.781,0.078,-0.9869,17890.19922,18009.5293,17848.2207,18004.16016,89390000,1
2869,0.143,0.799,0.058,-0.9897,18012.09961,18103.46094,17984.42969,18053.59961,89820000,1
2870,0.121,0.804,0.076,-0.9648,18059.49023,18167.63086,18031.21094,18096.26953,100210000,0
2871,0.1,0.831,0.069,-0.9005,18092.83984,18107.28906,17963.89063,17982.51953,102720000,1
2872,0.146,0.744,0.11,-0.9432,17985.05078,18026.84961,17909.89063,18003.75,134120000,0
2875,0.142,0.806,0.052,-0.994,17990.93945,17990.93945,17855.55078,17977.24023,83770000,1
2876,0.196,0.735,0.069,-0.9934,17987.38086,18043.76953,17934.16992,17990.32031,92570000,1
2877,0.13,0.804,0.066,-0.9861,17996.14063,18084.66016,17920.25977,18041.55078,109090000,0
2878,0.125,0.784,0.09,-0.9538,18023.88086,18035.73047,17796.55078,17830.75977,100920000,0
2879,0.12,0.846,0.034,-0.9875,17813.08984,17814.83008,17651.98047,17773.64063,136670000,1
2882,0.171,0.795,0.035,-0.9957,17783.7793,17912.34961,17773.71094,17891.16016,80100000,0
2883,0.134,0.761,0.104,-0.9497,17870.75,17870.75,17670.88086,17750.91016,97060000,0
2884,0.14,0.814,0.046,-0.9842,17735.01953,17738.06055,17609.00977,17651.25977,95020000,0
2885,0.157,0.766,0.078,-0.9885,17664.48047,17736.10938,17615.82031,17660.71094,81530000,1
