,Open,Close,High,Low,Volume,neg,neu,pos,compound,label
1237,21.436428,20.98,21.5975,20.875713,834719200,0.07,0.802,0.127,0.9669,0
1238,21.120714,20.463572,21.236429,20.372143,1030985200,0.056,0.843,0.101,0.9323,1
1239,20.378929,20.417856,20.595358,19.879286,966529200,0.087,0.811,0.103,0.5859,0
1240,20.093214,20.01,20.274643,19.821428,1076149200,0.054,0.863,0.083,0.926,0
1241,21.987143,21.785715,22.071428,21.642857,905777600,0.066,0.844,0.09,0.875,0
1242,21.938213,21.703571,21.953215,21.504642,536068400,0.057,0.865,0.078,0.7469,0
1243,21.609642,21.535715,21.649286,21.446428,406722400,0.057,0.873,0.07,0.3506,0
1244,21.35,20.856428,21.371429,20.821428,506144800,0.04,0.839,0.121,0.9864,0
1245,20.889286,20.790358,21.312857,20.758215,610999200,0.122,0.746,0.132,0.0772,1
1246,20.722857,20.927856,20.978571,20.673571,427389200,0.076,0.838,0.086,0.4767,0
1247,21.089285,20.779285,21.121429,20.725,390549600,0.068,0.85,0.082,0.5859,0
1248,20.610001,20.1875,20.655714,20.184643,529992400,0.11,0.795,0.096,-0.6712,1
1249,20.053572,20.338572,20.456072,20.043928,460118400,0.079,0.872,0.049,-0.8528,0
1250,20.342142,20.292143,20.410715,19.954643,497252000,0.046,0.858,0.095,0.9521,1
1251,20.132143,20.327858,20.499287,20.030357,480704000,0.051,0.876,0.073,0.8851,0
1252,20.520714,20.375713,20.567142,20.301428,333200000,0.082,0.805,0.113,0.775,0
1253,20.178572,20.239643,20.516787,20.155357,399546000,0.078,0.812,0.11,0.7579,0
1254,20.091785,19.936428,20.268215,19.914286,352626400,0.032,0.914,0.053,0.5859,0
1255,20.051786,19.756071,20.115,19.705357,476336000,0.082,0.798,0.12,0.9453,0
1256,19.7875,19.502857,19.888929,19.322857,560896000,0.066,0.812,0.122,0.9643,0
1257,19.475357,18.932858,19.553572,18.932858,717220000,0.074,0.785,0.141,0.9626,1
1258,19.07,18.942142,19.407499,18.649286,732292400,0.094,0.749,0.157,0.9696,1
1259,19.089285,20.045713,20.055,19.073214,631106000,0.044,0.819,0.137,0.9758,0
1260,20.341072,19.891787,20.495714,19.735001,694870400,0.061,0.835,0.104,0.6893,1
1261,19.910715,20.377142,20.457144,19.758215,584897600,0.112,0.808,0.08,-0.971,0
1262,20.566786,20.190001,20.589285,20.043928,496230000,0.121,0.76,0.119,-0.7007,0
1263,20.163929,20.081785,20.208929,19.945356,328507200,0.11,0.826,0.064,-0.8708,1
