,Open,neg,neu,pos,compound,label
293,4.432143,0.04,0.941,0.019,-0.5789,1
294,4.376786,0.034,0.899,0.067,0.8705,1
295,4.613572,0.042,0.9,0.057,0.3071,1
296,4.754286,0.03,0.866,0.104,0.9782,0
297,4.682857,0.017,0.89,0.093,0.9438,1
298,4.786071,0.012,0.921,0.068,0.8713,1
299,4.998571,0.034,0.874,0.092,0.891,1
300,5.031072,0.045,0.855,0.1,0.9273,1
301,5.064286,0.076,0.924,0,-0.6369,1
302,5.116786,0.038,0.86,0.102,0.5494,1
303,5.225,0.031,0.873,0.096,0.9275,1
304,5.313571,0.023,0.876,0.101,0.9726,0
305,5.252143,0.023,0.883,0.094,0.9731,1
306,5.435357,0.018,0.917,0.065,0.8674,1
307,5.576071,0.078,0.83,0.092,0.8341,0
308,5.483929,0.066,0.83,0.104,0.8126,0
309,5.475357,0.065,0.85,0.085,0.5267,0
310,5.3975,0.038,0.902,0.059,0.4588,1
311,5.454286,0.021,0.891,0.088,0.7351,0
312,5.241786,0.026,0.89,0.084,0.9531,1
313,5.335714,0.034,0.834,0.132,0.9875,0
314,5.418571,0.004,0.843,0.152,0.9922,1
315,5.506072,0.044,0.853,0.103,0.9422,1
316,5.682857,0.033,0.812,0.155,0.9509,1
317,5.793214,0.056,0.882,0.062,0.2732,1
318,5.978571,0.039,0.887,0.074,0.8687,0
319,5.858929,0.079,0.798,0.123,0.9172,0
320,5.905,0.097,0.745,0.158,0.9579,1
321,6.096428,0.133,0.824,0.043,-0.969,0
322,6.0625,0.048,0.829,0.123,0.8131,1
323,6.2925,0.035,0.926,0.039,0.5719,0
324,6.248571,0.013,0.952,0.036,0.8299,1
325,6.435357,0.029,0.882,0.09,0.8767,1
326,6.497143,0.024,0.918,0.058,0.8677,1
327,6.595,0.036,0.929,0.035,-0.0258,1
328,6.644643,0.051,0.863,0.086,0.8898,0
329,6.563214,0.054,0.838,0.108,0.9506,1
330,6.541429,0.056,0.908,0.036,-0.453,1
331,6.614643,0,0.932,0.068,0.9382,1
332,6.736072,0.055,0.899,0.046,-0.2732,1
333,6.829643,0.082,0.814,0.104,0.5067,0
