,neg,neu,pos,compound,Open,label
912,0.125,0.811,0.064,-0.987,11370.44043,0
913,0.154,0.779,0.067,-0.9876,11370.05957,1
916,0.125,0.788,0.087,-0.925,11406.16016,1
917,0.181,0.715,0.103,-0.9878,11429.24023,1
918,0.144,0.796,0.06,-0.9903,11475.63965,0
919,0.201,0.721,0.078,-0.995,11457.92969,1
920,0.213,0.7,0.087,-0.9976,11499.01953,0
923,0.158,0.764,0.078,-0.9933,11491.29981,0
924,0.183,0.77,0.046,-0.9974,11478.36035,1
925,0.133,0.845,0.022,-0.9935,11532.16992,1
926,0.19,0.726,0.085,-0.9963,11559.11035,1
930,0.106,0.811,0.083,-0.9686,11572.80957,0
931,0.17,0.759,0.071,-0.9961,11554.79981,1
932,0.159,0.772,0.069,-0.9924,11572.74023,1
933,0.091,0.818,0.09,0.3811,11585.37988,0
934,0.161,0.752,0.087,-0.9955,11569.33008,1
937,0.1,0.846,0.054,-0.9862,11577.42969,1
938,0.092,0.867,0.041,-0.9849,11670.90039,1
939,0.168,0.767,0.066,-0.9969,11688.61035,1
940,0.261,0.701,0.038,-0.9983,11716.92969,0
941,0.138,0.793,0.068,-0.9927,11696.86035,0
944,0.173,0.725,0.102,-0.9944,11672.33984,0
945,0.136,0.781,0.083,-0.9792,11638.50977,1
946,0.152,0.8,0.047,-0.996,11673.62012,1
947,0.096,0.8,0.104,0.2808,11753.7002,0
948,0.097,0.816,0.087,-0.1226,11732.12988,1
952,0.095,0.828,0.076,-0.854,11783.82031,1
953,0.117,0.801,0.082,-0.9289,11834.20996,0
954,0.19,0.71,0.099,-0.9957,11823.7002,0
955,0.152,0.796,0.052,-0.9962,11822.9502,1
958,0.14,0.791,0.07,-0.983,11873.42969,1
959,0.201,0.733,0.066,-0.994,11980.51953,0
960,0.192,0.739,0.069,-0.9925,11978.84961,1
961,0.127,0.813,0.06,-0.9901,11985.36035,1
962,0.061,0.922,0.018,-0.9055,11990.36035,0
965,0.138,0.776,0.086,-0.9493,11824.38965,1
966,0.062,0.885,0.053,-0.0765,11892.5,1
967,0.09,0.837,0.073,-0.3974,12038.26953,1
968,0.266,0.612,0.122,-0.9982,12040.67969,1
969,0.118,0.801,0.081,-0.9493,12061.73047,1
972,0.139,0.767,0.094,-0.9741,12092.37988,1
973,0.09,0.891,0.02,-0.982,12152.7002,1
974,0.16,0.803,0.037,-0.9929,12229.29004,1
975,0.154,0.747,0.098,-0.9895,12239.66016,0
976,0.109,0.822,0.068,-0.9612,12227.78027,1
979,0.163,0.729,0.107,-0.9804,12266.83008,1
980,0.194,0.761,0.045,-0.9959,12266.75,0
981,0.219,0.727,0.054,-0.9972,12219.79004,1
982,0.187,0.744,0.068,-0.9944,12287.71973,1
983,0.21,0.737,0.053,-0.9973,12318.66992,1
987,0.118,0.785,0.097,-0.8496,12389.74023,0
988,0.112,0.82,0.067,-0.9694,12211.80957,0
989,0.133,0.79,0.077,-0.9699,12104.55957,0
990,0.195,0.744,0.06,-0.9955,12060.92969,1
993,0.166,0.744,0.09,-0.989,12130.4502,1
994,0.091,0.859,0.05,-0.9688,12226.49023,0
995,0.142,0.787,0.071,-0.9885,12057.33984,1
996,0.132,0.827,0.041,-0.9909,12068.00977,1
997,0.18,0.752,0.069,-0.9942,12258.87988,0
1000,0.121,0.761,0.118,0.1692,12171.08984,0
1001,0.165,0.757,0.077,-0.9928,12085.87012,1
1002,0.194,0.743,0.064,-0.9974,12211.16016,1
1003,0.162,0.787,0.052,-0.9834,12211.42969,0
1004,0.084,0.834,0.082,0.3185,11976.95996,1
1007,0.106,0.806,0.088,-0.7456,12042.12988,0
1008,0.158,0.773,0.069,-0.9926,11988.69043,0
1009,0.157,0.77,0.072,-0.9938,11854.2002,0
1010,0.171,0.77,0.059,-0.9965,11614.88965,1
1011,0.091,0.85,0.059,-0.9308,11777.23047,1
1014,0.173,0.781,0.046,-0.9944,11860.11035,1
1015,0.143,0.745,0.112,-0.8854,12036.37012,0
1016,0.153,0.791,0.056,-0.9863,12018.40039,1
1017,0.149,0.816,0.035,-0.9946,12087.54004,1
1018,0.106,0.833,0.061,-0.9656,12170.70996,1
1021,0.179,0.816,0.005,-0.9966,12221.19043,0
1022,0.167,0.762,0.071,-0.9878,12194.48047,1
1023,0.1,0.861,0.039,-0.971,12280.07031,1
1024,0.189,0.716,0.094,-0.994,12350.75977,0
1025,0.123,0.828,0.05,-0.9835,12321.01953,1
1028,0.194,0.768,0.038,-0.997,12374.59961,1
1029,0.203,0.748,0.049,-0.9961,12402.08008,0
1030,0.144,0.791,0.064,-0.9927,12386.66016,1
1031,0.192,0.73,0.078,-0.9968,12426.4502,0
1032,0.162,0.77,0.068,-0.9934,12409.87012,0
1035,0.121,0.822,0.057,-0.9652,12380.42969,1
1036,0.248,0.667,0.085,-0.9967,12381.19043,0
1037,0.132,0.819,0.048,-0.9888,12263.65039,1
1038,0.161,0.773,0.066,-0.9879,12270.24023,1
1039,0.13,0.825,0.044,-0.978,12285.4502,1
1042,0.133,0.816,0.052,-0.9786,12339.70996,0
